Student_ID,Class,Gender,Attendance_Percentage,Maths_Marks,Science_Marks,English_Marks,Assignment_Score,Study_Hours_Per_Day,Previous_Marks,Average_Marks,Attendance_Category
ST001,10th,Male,84.3,61.4,66.9,66.2,96.3,2.7,50.4,64.8,Good
ST002,8th,Female,79.3,69.7,68.6,88.0,70.2,3.9,72.1,75.4,Average
ST003,10th,Male,86.5,58.6,62.1,69.3,78.0,4.5,41.0,63.3,Good
ST004,10th,Male,93.4,59.6,81.8,74.3,84.7,3.6,63.6,71.9,Excellent
ST005,8th,Female,87.0,78.5,69.6,87.3,47.1,2.6,89.5,78.5,Good
ST006,8th,Male,92.6,90.5,91.9,93.6,93.1,4.2,73.9,92.0,Excellent
ST007,10th,Female,75.3,48.2,53.4,54.2,52.7,1.0,72.2,51.9,Average
ST008,9th,Male,73.3,65.2,73.6,69.7,87.0,1.9,91.8,69.5,Average
ST009,10th,Female,76.5,76.4,79.8,74.9,83.2,2.1,66.8,77.0,Average
ST010,10th,Male,69.3,62.2,70.2,61.1,46.9,2.8,85.1,64.5,Low
ST011,10th,Female,83.1,57.6,51.5,56.5,47.5,3.4,71.6,55.2,Good
ST012,10th,Female,77.7,75.2,73.9,84.3,92.2,2.6,74.6,77.8,Average
ST013,8th,Female,94.3,63.7,72.5,81.9,89.6,1.7,55.4,72.7,Excellent
ST014,10th,Female,69.1,58.0,75.0,63.4,64.4,4.0,64.2,65.5,Low
ST015,9th,Female,97.5,88.5,73.9,80.7,64.4,2.5,53.2,81.0,Excellent
ST016,8th,Male,72.2,68.8,73.0,78.1,81.2,2.9,68.9,73.3,Average
ST017,9th,Male,69.6,47.1,70.0,70.8,74.8,3.5,74.7,62.6,Low
ST018,9th,Male,73.8,54.3,62.2,52.4,87.7,2.8,56.7,56.3,Average
ST019,9th,Female,100.0,100.0,94.6,99.0,80.8,2.9,94.6,97.9,Excellent
ST020,9th,Male,81.6,81.7,79.0,83.2,94.0,4.0,73.3,81.3,Good
ST021,8th,Female,87.3,92.6,95.8,89.2,86.6,3.0,70.7,92.5,Good
ST022,8th,Female,80.2,73.5,68.2,87.8,83.6,3.8,79.2,76.5,Good
ST023,9th,Male,81.1,69.3,59.2,85.7,70.8,3.5,60.1,71.4,Good
ST024,9th,Male,76.9,90.5,82.5,79.2,69.9,5.2,72.0,84.1,Average
ST025,8th,Female,82.5,47.3,60.4,55.3,74.4,3.3,61.4,54.3,Good
ST026,8th,Male,86.9,86.0,93.4,100.0,97.1,3.6,88.7,93.1,Good
ST027,8th,Female,98.8,84.7,90.0,89.0,70.1,4.1,57.3,87.9,Excellent
